customer_id,first_name,last_name,email,phone,segment,lifetime_value,last_contact_date,opted_in_marketing,export_date
CUST_0001,Dustin,Edwards,shawdalton@example.net,(362)690-4220x7120,Regular,1853.54,2026-08-04,False,2026-08-05
CUST_0002,Ashley,Flores,jessicamoon@example.net,294-721-1359,At-Risk,3819.05,2026-08-04,False,2026-08-05
CUST_0003,Francisco,Taylor,cameronklein@example.com,966.355.0268x1644,New,1792.0,2026-08-04,False,2026-08-05
CUST_0004,Kathleen,Larsen,newtonashley@example.org,732-476-5155,Regular,1641.25,2026-08-04,True,2026-08-05
CUST_0005,Victoria,Alexander,robleschristopher@example.org,870-956-6835x435,VIP,2175.56,2026-08-04,True,2026-08-05
CUST_0006,Rick,Brady,jonathanrodgers@example.net,001-229-426-2136x947,Regular,2731.87,2026-08-04,False,2026-08-05
CUST_0007,David,Larsen,vanessa09@example.org,+1-592-264-6005x9179,VIP,3585.95,2026-08-04,True,2026-08-05
CUST_0008,Annette,Galvan,gibsonmatthew@example.org,591-429-6327x6415,At-Risk,923.99,2026-08-04,True,2026-08-05
CUST_0009,Angel,Taylor,andrewstevens@example.com,614-207-3031x1783,At-Risk,1112.08,2026-08-04,True,2026-08-05
CUST_0010,Karen,Collins,mquinn@example.org,(435)664-9061x005,VIP,3866.75,2026-08-04,True,2026-08-05
CUST_0011,Vanessa,Santiago,barbarasanchez@example.net,727-382-6785x175,New,86.76,2026-08-04,False,2026-08-05
CUST_0012,Tracey,Flynn,patrick78@example.org,489-752-1849,Regular,472.27,2026-08-04,True,2026-08-05
CUST_0013,Anthony,Ortiz,ingrammegan@example.net,947.832.8800,At-Risk,941.15,2026-08-04,False,2026-08-05
CUST_0014,Elizabeth,Warren,nortega@example.com,+1-250-765-3097x61532,At-Risk,297.56,2026-08-04,False,2026-08-05
CUST_0015,David,Townsend,asmith@example.org,(683)728-1827,VIP,3265.44,2026-08-04,True,2026-08-05
CUST_0016,Michelle,Simmons,rebeccafox@example.com,2714959896,VIP,1548.26,2026-08-04,True,2026-08-05
CUST_0017,Karen,Holmes,irwingregory@example.org,213-497-9733x3831,VIP,3719.14,2026-08-04,False,2026-08-05
CUST_0018,Lisa,Blanchard,jonathanhorn@example.com,8467715427,New,2009.02,2026-08-04,False,2026-08-05
CUST_0019,Gregory,Hernandez,thomasjoy@example.com,+1-429-452-1665x61698,New,4900.79,2026-08-04,False,2026-08-05
CUST_0020,Michael,Wells,jessica55@example.org,(495)666-0183,Regular,1881.8,2026-08-04,True,2026-08-05
CUST_0021,Patricia,Shields,hzamora@example.org,(698)209-1075x7248,Regular,282.96,2026-08-04,False,2026-08-05
CUST_0022,Heather,Kennedy,mckenzietommy@example.org,001-233-380-3769x873,Regular,543.67,2026-08-04,True,2026-08-05
CUST_0023,Keith,Schultz,jason33@example.org,(591)292-8632x6539,New,4367.84,2026-08-04,True,2026-08-05
CUST_0024,Thomas,Thompson,kimberly63@example.com,558-760-3810x719,Regular,3780.67,2026-08-04,False,2026-08-05
CUST_0025,Anthony,Neal,jarviselizabeth@example.net,001-411-686-0887x849,VIP,929.33,2026-08-04,True,2026-08-05
CUST_0026,Melissa,Shepard,kimberlybush@example.net,001-931-396-6542x817,At-Risk,813.81,2026-08-04,True,2026-08-05
CUST_0027,Sheri,Torres,tranisaac@example.net,+1-757-424-7311x8067,New,1767.81,2026-08-04,False,2026-08-05
